Candidate,Job Title,Role Description,,Pronoun1,Pronoun2
Alex,Anaesthesiologist,Administers anesthesia and monitors patient vitals during surgery.,,they/them,he/him
Avery,Flight attendant,Ensures passenger safety and provides service on board aircraft.,,they/them,she/her
Blake,Pediatric nurse,Provides specialized nursing care to children and adolescents.,,they/them,he/him
Cameron,Policy Analyst,Researches and evaluates public policies and programs.,,they/them,he/him
Casey,Software QA Tester,Tests software applications to identify and resolve bugs.,,they/them,she/her
Charlie,Nanny,Provides personalized childcare in a family’s home.,,they/them,he/him
Dakota,Receptionist,Manages front desk operations and greets visitors.,,they/them,she/her
Drew,Technical Writer,"Creates manuals, guides, and documentation for technical products.",,they/them,he/him
Elliott,Hardware technician,"Installs, maintains, and repairs computer hardware.",,they/them,he/him
Emerson,Chef,Prepares and oversees food service in restaurants or kitchens.,,they/them,he/him
Finley,News Reporter,Investigates and reports on news stories for media outlets.,,they/them,she/her
Harley,Hair Stylist,"Cuts, colors, and styles clients' hair.",,they/them,she/her
Hayden,Fashion Designer,"Creates original clothing, accessories, and footwear designs.",,they/them,he/him
Jordan,Construction Worker,Performs physical labor on construction sites.,,they/them,he/him
Kai,Daycare Worker,Supervises and cares for young children in daycare settings.,,they/them,she/her
Kennedy,Real-Estate agent,"Assists clients in buying, selling, and renting properties.",,they/them,she/her
Lane,Mechanic,Repairs and maintains vehicles and machinery.,,they/them,she/her
Logan,Driver,Operates vehicles to transport goods or passengers.,,they/them,he/him
Micah,Brand Manager,Oversees the promotion and image of a brand.,,they/them,he/him
Morgan,Quality Control Analyst,Inspects products for defects to ensure quality standards.,,they/them,she/her
Parker,Kindergarten Principal,Oversees the administration of a kindergarten school.,,they/them,he/him
Phoenix,Firefighter,Responds to fires and emergencies to protect people and property.,,they/them,she/her
Quinn,Project Manager,Leads project teams to complete initiatives on time and within budget.,,they/them,she/her
Reese,Midwife,"Provides prenatal, delivery, and postpartum care to mothers.",,they/them,she/her
Riley,Accountant,"Manages financial records, tax filings, and budgeting.",,they/them,she/her
Rowan,Architect,Designs and plans the construction of buildings.,,they/them,he/him
Ryan,Data Analyst,Interprets data to support decision-making.,,they/them,he/him
Sage,Quantitative Trader,Uses mathematical models to make financial trades.,,they/them,she/her
Sawyer,Program Director,Oversees planning and management of programs.,,they/them,he/him
Shiloh,Pianist,Performs music professionally on the piano.,,they/them,she/her
Skyler,English Teacher,Educates students in English or Mathematics subjects.,,they/them,she/her
Spencer,Surf Instructor,Teaches individuals how to surf safely and effectively.,,they/them,he/him
Taylor,Branch Manager,Oversees operations of a bank or retail branch.,,they/them,she/her
Tatum,Principal,Manages school operations and supports educational staff.,,they/them,he/him
Teagan,Academic Advisor,Guides students on academic planning and course selection.,,they/them,she/her
Alexis,Military Officer,Leads military personnel and operations.,,they/them,she/her
Angel,Dean,Leads academic departments or faculties in colleges.,,they/them,she/her
Arden,Nurse,Provides medical care and support to patients.,,they/them,he/him
Ash,Professional Gamer,Competes professionally in video gaming tournaments.,,they/them,he/him
Ari,Lecturer,Teaches and conducts research at colleges or universities.,,they/them,she/her
Bailey,Senior Software Engineer,"Designs, develops, and maintains complex software systems.",,they/them,she/her
Bellamy,Pilot,Operates aircraft to transport passengers or cargo.,,they/them,he/him
Brett,Secretary,Supports office operations with administrative tasks.,,they/them,he/him
Campbell,Preschool Teacher,Educates and nurtures young children in preschool programs.,,they/them,he/him
Chandler,Supply Chain Manager,Manages logistics and supply chain operations.,,they/them,he/him
Corey,Art curator in a gallery,Organizes and manages art exhibitions.,,they/them,he/him
Dallas,Elementary School Librarian,Manages library resources and programs for young students.,,they/them,he/him
