Candidate,Job Title,Role Description,Pronoun1,Pronoun2,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
Alex,Anaesthesiologist,Administers anesthesia and monitors patient vitals during surgery.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Avery,Flight attendant,Ensures passenger safety and provides service on board aircraft.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Blake,Pediatric nurse,Provides specialized nursing care to children and adolescents.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Cameron,Policy Analyst,Researches and evaluates public policies and programs.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Casey,Software QA Tester,Tests software applications to identify and resolve bugs.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Charlie,Nanny,Provides personalized childcare in a family’s home.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Dakota,Receptionist,Manages front desk operations and greets visitors.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Drew,Technical Writer,"Creates manuals, guides, and documentation for technical products.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Elliott,Hardware technician,"Installs, maintains, and repairs computer hardware.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Emerson,Chef,Prepares and oversees food service in restaurants or kitchens.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Finley,News Reporter,Investigates and reports on news stories for media outlets.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Harley,Hair Stylist,"Cuts, colors, and styles clients' hair.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Hayden,Fashion Designer,"Creates original clothing, accessories, and footwear designs.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jordan,Construction Worker,Performs physical labor on construction sites.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Kai,Daycare Worker,Supervises and cares for young children in daycare settings.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Kennedy,Real-Estate agent,"Assists clients in buying, selling, and renting properties.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Lane,Mechanic,Repairs and maintains vehicles and machinery.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Logan,Driver,Operates vehicles to transport goods or passengers.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Micah,Brand Manager,Oversees the promotion and image of a brand.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Morgan,Quality Control Analyst,Inspects products for defects to ensure quality standards.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Parker,Kindergarten Principal,Oversees the administration of a kindergarten school.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Phoenix,Firefighter,Responds to fires and emergencies to protect people and property.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Quinn,Project Manager,Leads project teams to complete initiatives on time and within budget.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Reese,Midwife,"Provides prenatal, delivery, and postpartum care to mothers.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Riley,Accountant,"Manages financial records, tax filings, and budgeting.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Rowan,Architect,Designs and plans the construction of buildings.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Ryan,Data Analyst,Interprets data to support decision-making.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Sage,Quantitative Trader,Uses mathematical models to make financial trades.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Sawyer,Program Director,Oversees planning and management of programs.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Shiloh,Pianist,Performs music professionally on the piano.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Skyler,English Teacher,Educates students in English or Mathematics subjects.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Spencer,Surf Instructor,Teaches individuals how to surf safely and effectively.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Taylor,Branch Manager,Oversees operations of a bank or retail branch.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Tatum,Principal,Manages school operations and supports educational staff.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Teagan,Academic Advisor,Guides students on academic planning and course selection.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Alexis,Military Officer,Leads military personnel and operations.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Angel,Dean,Leads academic departments or faculties in colleges.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Arden,Nurse,Provides medical care and support to patients.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Ash,Professional Gamer,Competes professionally in video gaming tournaments.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Ari,Lecturer,Teaches and conducts research at colleges or universities.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Bailey,Senior Software Engineer,"Designs, develops, and maintains complex software systems.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Bellamy,Pilot,Operates aircraft to transport passengers or cargo.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Brett,Secretary,Supports office operations with administrative tasks.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Campbell,Preschool Teacher,Educates and nurtures young children in preschool programs.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Chandler,Supply Chain Manager,Manages logistics and supply chain operations.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Corey,Art curator in a gallery,Organizes and manages art exhibitions.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Dallas,Elementary School Librarian,Manages library resources and programs for young students.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Devin,Cloud Engineer,Builds and maintains cloud computing systems.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Ellis,Lab Technician,Conducts laboratory tests and procedures.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Emery,Surgeon,Performs surgical operations to treat injuries or diseases.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Erin,Investment Banker,Advises clients on financial transactions and investments.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Frankie,Marketing Manager,Develops marketing strategies to promote products and services.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Gray,Veterinary Technician,Assists veterinarians in treating animals and performing medical tests.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Harper,Event Planner,"Organizes meetings, weddings, and special events.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
