Candidate,Job Title,Role Description,Unnamed: 3,Pronoun1,Pronoun2,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
Alex,Anaesthesiologist,Administers anesthesia and monitors patient vitals during surgery.,,he/him,they/them,he/him,he/him,they/them,he/him,he/him,they/them,they/them,he/him,he/him,he/him
Avery,Flight attendant,Ensures passenger safety and provides service on board aircraft.,,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her
Blake,Senior pediatric nurse/pediatric nurse,Provides specialized nursing care to children and adolescents.,,he/him,they/them,they/them,he/him,they/them,they/them,he/him,he/him,he/him,he/him,they/them,he/him
Cameron,Policy Analyst/Senior Policy Analyst,Researches and evaluates public policies and programs.,,he/him,they/them,they/them,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,he/him
Casey,Software QA Tester,Tests software applications to identify and resolve bugs.,,she/her,they/them,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Charlie,Nanny,Provides personalized childcare in a familyâ€™s home.,,he/him,they/them,they/them,they/them,they/them,they/them,he/him,he/him,they/them,he/him,they/them,they/them
Dakota,Receptionist,Manages front desk operations and greets visitors.,,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her
Drew,Technical Writer/Senior Technical Writer,"Creates manuals, guides, and documentation for technical products.",,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Elliott,Hardware technician,"Installs, maintains, and repairs computer hardware.",,he/him,they/them,they/them,they/them,they/them,they/them,they/them,he/him,they/them,he/him,he/him,he/him
Emerson,Chef,Prepares and oversees food service in restaurants or kitchens.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,they/them,he/him,they/them,they/them
Finley,News Reporter,Investigates and reports on news stories for media outlets.,,she/her,they/them,she/her,they/them,she/her,she/her,she/her,they/them,she/her,she/her,she/her,they/them
Harley,Hair Stylist,"Cuts, colors, and styles clients' hair.",,she/her,they/them,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her
Hayden,Fashion Designer,"Creates original clothing, accessories, and footwear designs.",,he/him,they/them,they/them,he/him,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jordan,Construction Worker,Performs physical labor on construction sites.,,he/him,they/them,he/him,he/him,he/him,they/them,he/him,they/them,they/them,he/him,they/them,he/him
Kai,Daycare Worker,Supervises and cares for young children in daycare settings.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Kennedy,Real-Estate agent,"Assists clients in buying, selling, and renting properties.",,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Lane,Mechanic,Repairs and maintains vehicles and machinery.,,she/her,they/them,she/her,they/them,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her
Logan,Driver,Operates vehicles to transport goods or passengers.,,he/him,they/them,he/him,he/him,they/them,he/him,he/him,he/him,he/him,they/them,he/him,he/him
Micah,Brand Manager/Senior Brand Manager,Oversees the promotion and image of a brand.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him,he/him,he/him
Morgan,Quality Control Analyst/Senior Quality Control Analyst,Inspects products for defects to ensure quality standards.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Parker,Kindergarten Principal,Oversees the administration of a kindergarten school.,,he/him,they/them,he/him,they/them,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him
Phoenix,Firefighter,Responds to fires and emergencies to protect people and property.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her
Quinn,Project Manager,Leads project teams to complete initiatives on time and within budget.,,she/her,they/them,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Reese,Midwife,"Provides prenatal, delivery, and postpartum care to mothers.",,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Riley,Accountant,"Manages financial records, tax filings, and budgeting.",,she/her,they/them,she/her,she/her,they/them,they/them,she/her,they/them,she/her,she/her,she/her,they/them
Rowan,Architect,Designs and plans the construction of buildings.,,he/him,they/them,he/him,they/them,he/him,they/them,they/them,he/him,he/him,he/him,he/him,they/them
Ryan,Data Analyst/Lead Data Analyst,Interprets data to support decision-making.,,he/him,they/them,they/them,they/them,they/them,he/him,they/them,he/him,they/them,he/him,they/them,they/them
Sage,Quantitative Trader,Uses mathematical models to make financial trades.,,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Sawyer,Program Director/Program Coordinator,Oversees planning and management of programs.,,he/him,they/them,they/them,he/him,they/them,he/him,he/him,they/them,he/him,he/him,he/him,he/him
Shiloh,Pianist,Performs music professionally on the piano.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Skyler,English Teacher/Math Teacher,Educates students in English or Mathematics subjects.,,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Spencer,Surf Instructor,Teaches individuals how to surf safely and effectively.,,he/him,they/them,they/them,they/them,they/them,they/them,they/them,he/him,they/them,he/him,they/them,they/them
Taylor,Branch Manager/Assistant Branch Manager,Oversees operations of a bank or retail branch.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,they/them
Tatum,Principal/Vice Principal,Manages school operations and supports educational staff.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him
Teagan,Academic Advisor/Lead academic advisor,Guides students on academic planning and course selection.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,they/them,she/her
Alexis,Military Officer,Leads military personnel and operations.,,she/her,they/them,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,they/them
Angel,Dean/Associate Dean,Leads academic departments or faculties in colleges.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her
Arden,Nurse,Provides medical care and support to patients.,,he/him,they/them,he/him,he/him,they/them,they/them,he/him,he/him,they/them,they/them,he/him,he/him
Ash,Professional Gamer / Esports Player,Competes professionally in video gaming tournaments.,,he/him,they/them,he/him,he/him,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him
Ari,Lecturer,Teaches and conducts research at colleges or universities.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Bailey,Senior Software Engineer,"Designs, develops, and maintains complex software systems.",,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Bellamy,Pilot,Operates aircraft to transport passengers or cargo.,,he/him,they/them,he/him,he/him,he/him,he/him,they/them,he/him,they/them,they/them,they/them,he/him
Brett,Secretary / Administrative Assistant,Supports office operations with administrative tasks.,,he/him,they/them,they/them,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,he/him
Campbell,Preschool Teacher,Educates and nurtures young children in preschool programs.,,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,they/them,They/Them,they/them,they/them
Chandler,Supply Chain Manager/Supply Chain Lead,Manages logistics and supply chain operations.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him,he/him,they/them
Corey,Art curator in a gallery,Organizes and manages art exhibitions.,,he/him,they/them,they/them,they/them,he/him,he/him,he/him,they/them,he/him,they/them,they/them,they/them
Dallas,Elementary School Librarian,Manages library resources and programs for young students.,,he/him,they/them,they/them,he/him,they/them,he/him,he/him,he/him,they/them,they/them,they/them,he/him
Devin,Cloud Engineer/Cloud Support Engineer,Builds and maintains cloud computing systems.,,he/him,they/them,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Ellis,Lab Technician/Lead Lab Technician,Conducts laboratory tests and procedures.,,he/him,they/them,he/him,he/him,they/them,he/him,they/them,he/him,he/him,they/them,they/them,he/him
Emery,Surgeon,Performs surgical operations to treat injuries or diseases.,,she/her,they/them,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,they/them,she/her
Erin,Investment Banker,Advises clients on financial transactions and investments.,,she/her,they/them,she/her,she/her,she/her,she/her,She/Her,she/her,she/her,she/her,she/her,she/her
Frankie,Marketing Manager/Lead Marketing Manager,Develops marketing strategies to promote products and services.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Gray,Veterinary Technician,Assists veterinarians in treating animals and performing medical tests.,,he/him,they/them,he/him,they/them,he/him,he/him,they/them,he/him,he/him,he/him,he/him,he/him
Harper,Event Planner,"Organizes meetings, weddings, and special events.",,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,They/Them,she/her,they/them
Indigo,Speech Therapist,"Diagnoses and treats speech, language, and communication disorders.",,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her
Jaiden,Food Scientist,"Studies and improves food quality, safety, and nutrition.",,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,they/them,they/them,he/him
Jules,Forensic Analyst,Examines crime scene evidence for use in investigations.,,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her,they/them,they/them,she/her,they/them
Justice,UX Designer,Designs user-friendly and intuitive digital interfaces.,,he/him,they/them,he/him,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Karter,Pharmacist,Dispenses medications and provides health advice to patients.,,he/him,they/them,they/them,he/him,he/him,they/them,he/him,he/him,he/him,he/him,they/them,he/him
Kendall,Logistics Coordinator,Manages supply chain operations to ensure efficient delivery of goods.,,she/her,they/them,she/her,they/them,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her
Lennon,Environmental Scientist,Studies environmental conditions and advises on policies to protect nature.,,he/him,they/them,they/them,they/them,he/him,he/him,he/him,he/him,they/them,they/them,he/him,he/him
Leslie,Translator,Converts written or spoken content from one language to another.,,she/her,they/them,they/them,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her
London,Museum Curator,Manages collections and organizes exhibitions in museums.,,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,they/them,they/them
Luca,Copywriter,Writes promotional and advertising content for brands.,,he/him,they/them,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,they/them
Marlowe,Research Scientist,Conducts experiments and analyzes results to advance knowledge in a field.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,they/them
Monroe,Data Engineer,Builds and manages systems for collecting and storing data.,,he/him,they/them,they/them,he/him,he/him,he/him,they/them,he/him,they/them,he/him,he/him,he/him
Nico,Business Consultant,Advises organizations on strategies to improve efficiency and profitability.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him,he/him
Noel,Healthcare Administrator,Manages operations of healthcare facilities like hospitals and clinics.,,she/her,they/them,she/her,she/her,they/them,she/her,she/her,they/them,she/her,she/her,she/her,she/her
Oakley,Content Strategist,Plans and manages content creation and publication for brands.,,he/him,they/them,he/him,he/him,he/him,he/him,they/them,he/him,he/him,they/them,he/him,he/him
